Rank,Player,Share,Season
20T,Andre Drummond,0.005,drumman01
20T,Taj Gibson,0.005,gibsota01
20T,LeBron James,0.005,jamesle01
20T,Terrence Jones,0.005,joneste01
20T,Jodie Meeks,0.005,meeksjo01
27T,LaMarcus Aldridge,0.002,aldrila01
27T,Alec Burks,0.002,burksal01
27T,Paul Millsap,0.002,millspa01
27T,Chandler Parsons,0.002,parsoch01
27T,John Wall,0.002,walljo01
1,Paul George,0.518,2012-13
2,Greivis Vásquez,0.243,vasqugr01
3,Larry Sanders,0.235,sandela01
4,Nikola Vučević,0.182,vucevni01
5,Jrue Holiday,0.170,holidjr01
6,Ömer Aşık,0.143,asikom01
7,James Harden,0.088,hardeja01
8,Stephen Curry,0.030,curryst01
9,Serge Ibaka,0.025,ibakase01
10,Chandler Parsons,0.023,parsoch01
11,Kemba Walker,0.015,walkeke02
12T,J.R. Smith,0.013,smithjr01
12T,Klay Thompson,0.013,thompkl01
14,Jimmy Butler,0.012,butleji01
15T,Ryan Anderson,0.008,anderry01
15T,Carmelo Anthony,0.008,anthoca01
15T,Andray Blatche,0.008,blatcan01
15T,Mike Conley,0.008,conlemi01
15T,Kawhi Leonard,0.008,leonaka01
20,Kevin Durant,0.007,duranke01
21T,Arron Afflalo,0.005,afflaar01
21T,Earl Clark,0.005,clarkea01
21T,Kenneth Faried,0.005,farieke01
21T,Greg Monroe,0.005,monrogr01
21T,Joakim Noah,0.005,noahjo01
26,Tristan Thompson,0.003,thomptr01
27T,Tobias Harris,0.002,harrito02
27T,Jarrett Jack,0.002,jackja01
27T,Ty Lawson,0.002,lawsoty01
27T,Brook Lopez,0.002,lopezbr01
27T,Robin Lopez,0.002,lopezro01
27T,Lance Stephenson,0.002,stephla01
27T,Jeff Teague,0.002,teaguje01
1,Ryan Anderson,0.430,2011-12
2,Ersan İlyasova,0.263,ilyaser01
3,Nikola Peković,0.172,pekovni01
4,Andrew Bynum,0.167,bynuman01
5,Greg Monroe,0.159,monrogr01
6,Jeremy Lin,0.150,linje01
7,Goran Dragić,0.089,dragigo01
8,Avery Bradley,0.060,bradlav01
9T,Danny Green,0.045,greenda02
9T,Jeff Teague,0.045,teaguje01
11T,Serge Ibaka,0.026,ibakase01
11T,Ty Lawson,0.026,lawsoty01
13,Paul George,0.021,georgpa01
14,Steve Novak,0.020,novakst01
15,DeMarcus Cousins,0.018,couside01
16,Kevin Love,0.013,loveke01
17T,James Harden,0.012,hardeja01
17T,Roy Hibbert,0.012,hibbero01
19T,Marcin Gortat,0.010,gortama01
19T,Gerald Henderson,0.010,hendege02
21T,Marc Gasol,0.008,gasolma01
21T,Kyle Lowry,0.008,lowryky01
23,Gordon Hayward,0.007,haywago01
24T,Arron Afflalo,0.005,afflaar01
24T,Tony Parker,0.005,parketo01
24T,C.J. Watson,0.005,watsocj01
24T,Brandan Wright,0.005,wrighbr03
28T,Jarrett Jack,0.002,jackja01
28T,Marreese Speights,0.002,speigma01
1,Kevin Love,0.690,2010-11
2,LaMarcus Aldridge,0.271,aldrila01
3,Dorell Wright,0.214,wrighdo01
4,Derrick Rose,0.119,rosede01
5,Kris Humphries,0.109,humphkr01
6,Kyle Lowry,0.083,lowryky01
7,Russell Westbrook,0.079,westbru01
8,Wesley Matthews,0.055,matthwe02
9,Jrue Holiday,0.026,holidjr01
10,Mike Conley,0.024,conlemi01
11,Arron Afflalo,0.022,afflaar01
12,Roy Hibbert,0.016,hibbero01
13,DeMar DeRozan,0.010,derozde01
14T,Eric Gordon,0.009,gordoer01
14T,Tyler Hansbrough,0.009,hansbty01
14T,Nick Young,0.009,youngni01
17T,Darrell Arthur,0.007,arthuda01
17T,Serge Ibaka,0.007,ibakase01
17T,DeAndre Jordan,0.007,jordade01
17T,Thaddeus Young,0.007,youngth01
21T,D.J. Augustin,0.005,augusdj01
21T,Luol Deng,0.005,denglu01
21T,Amar'e Stoudemire,0.005,stoudam01
24T,Tony Allen,0.002,allento01
24T,Michael Beasley,0.002,beaslmi01
24T,Elton Brand,0.002,brandel01
24T,Tyson Chandler,0.002,chandty01
24T,Jared Dudley,0.002,dudleja01
24T,Marcin Gortat,0.002,gortama01
24T,James Harden,0.002,hardeja01
24T,Jodie Meeks,0.002,meeksjo01
1,Aaron Brooks,0.655,2009-10
2T,Kevin Durant,0.164,duranke01
2T,Marc Gasol,0.164,gasolma01
2T,George Hill,0.164,hillge01
5,Andrew Bogut,0.151,bogutan01
6,Russell Westbrook,0.109,westbru01
7,Joakim Noah,0.104,noahjo01
8,Gerald Wallace,0.047,wallage01
9T,Brook Lopez,0.031,lopezbr01
9T,Corey Brewer,0.031,breweco01
11,Carl Landry,0.029,landrca01
12T,Rajon Rondo,0.020,rondora01
12T,Andray Blatche,0.020,blatcan01
14T,Channing Frye,0.016,fryech01
14T,Danilo Gallinari,0.016,gallida01
16,Josh Smith,0.013,smithjo03
17,David Lee,0.011,leeda02
18,Dwight Howard,0.008,howardw01
19T,Ersan İlyasova,0.007,ilyaser01
19T,Chris Kaman,0.007,kamanch01
19T,JJ Redick,0.007,redicjj01
22T,Chris Douglas-Roberts,0.005,douglch01
22T,Nenê,0.005,hilarne01
22T,Paul Millsap,0.005,millspa01
25,Robin Lopez,0.003,lopezro01
26T,Monta Ellis,0.002,ellismo01
26T,J.J. Hickson,0.002,hicksjj01
26T,Zach Randolph,0.002,randoza01
26T,John Salmons,0.002,salmojo01
26T,Ben Wallace,0.002,wallabe01
1,Danny Granger,0.602,2008-09
2,Devin Harris,0.560,harride01
3,Kevin Durant,0.137,duranke01
4,Paul Millsap,0.127,millspa01
5,Nenê,0.096,hilarne01
6,Rajon Rondo,0.048,rondora01
7,David Lee,0.041,leeda02
8,John Salmons,0.028,salmojo01
9,Thaddeus Young,0.026,youngth01
10,Von Wafer,0.020,wafervo01
11,Brandon Roy,0.013,roybr01
12T,Chris Andersen,0.010,anderch01
12T,J.R. Smith,0.010,smithjr01
14T,Wilson Chandler,0.008,chandwi01
14T,Glen Davis,0.008,davisgl01
14T,Jason Terry,0.008,terryja01
17T,Aaron Brooks,0.007,brookaa01
17T,Jameer Nelson,0.007,nelsoja01
19T,LaMarcus Aldridge,0.005,aldrila01
19T,Kelenna Azubuike,0.005,azubuke01
19T,Roger Mason,0.005,masonro01
19T,Dwyane Wade,0.005,wadedw01
23T,Ronnie Brewer,0.003,brewero02
23T,Luis Scola,0.003,scolalu01
25T,J.J. Barea,0.002,bareajo01
25T,Andrea Bargnani,0.002,bargnan01
25T,Rasual Butler,0.002,butlera01
25T,Mike Conley,0.002,conlemi01
25T,Jeff Green,0.002,greenje02
25T,Emeka Okafor,0.002,okafoem01
25T,Kendrick Perkins,0.002,perkike01
25T,Tyrus Thomas,0.002,thomaty01
25T,Gerald Wallace,0.002,wallage01
25T,Mo Williams,0.002,willima01
1,Hedo Türkoğlu,0.608,2007-08
2,Rudy Gay,0.267,gayru01
3,LaMarcus Aldridge,0.205,aldrila01
4,Al Jefferson,0.160,jeffeal01
5,Rajon Rondo,0.123,rondora01
6,Mike Dunleavy,0.082,dunlemi02
7,José Calderón,0.072,caldejo01
8,Chris Paul,0.066,paulch01
9,Beno Udrih,0.027,udrihbe01
10,David West,0.024,westda01
11,Ronnie Brewer,0.019,brewero02
12,Andrew Bynum,0.018,bynuman01
13,Chris Kaman,0.014,kamanch01
14,Lou Williams,0.013,willilo02
15T,Andrew Bogut,0.011,bogutan01
15T,Monta Ellis,0.011,ellismo01
17,Rafer Alston,0.010,alstora01
