Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Ana Dabovic,LAS,G,22,236,22,0,10.7,0.9,2.5,.370,0.1,0.9,.158,0.8,1.6,.486,1.0,1.3,.759,0.3,0.8,1.3,0.6,0.0,0.9,1.7,3.0
Elena Delle Donne,CHI,F-G,28,927,28,28,33.1,7.6,15.8,.485,1.5,3.6,.426,6.1,12.1,.503,4.6,5.0,.935,1.7,7.0,1.9,0.6,1.5,1.3,2.3,21.5
Erika de Souza,CHI,F-C,31,516,31,18,16.6,2.5,4.8,.517,0.0,0.0,,2.5,4.8,.517,0.9,1.2,.750,2.0,5.2,0.6,0.5,0.7,0.7,2.0,5.8
Skylar Diggins-Smith,DAL,G,27,765,27,25,28.3,4.2,10.7,.390,0.9,2.9,.299,3.3,7.9,.423,3.9,4.9,.788,0.4,1.9,3.4,1.1,0.3,2.3,2.0,13.1
Zoi Dimitrakou,WAS,F,2,11,2,0,5.5,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.5,1.5,1.5
Stefanie Dolson,WAS,C,34,765,34,31,22.5,3.5,7.3,.482,0.3,0.9,.300,3.2,6.4,.507,2.1,2.4,.843,1.4,4.7,1.1,0.4,0.9,1.1,2.6,9.3
Clarissa Dos Santos,CHI,C,20,187,20,0,9.4,1.0,3.0,.339,0.0,0.1,.000,1.0,2.9,.345,0.9,1.0,.850,1.0,2.2,0.5,0.3,0.2,0.5,1.6,2.9
Jelena Dubljevic,LAS,F,15,79,15,0,5.3,0.6,1.5,.409,0.1,0.2,.333,0.5,1.3,.421,0.2,0.2,1.000,0.1,0.9,0.5,0.1,0.1,0.5,0.7,1.5
Candice Dupree,PHO,F,32,930,32,32,29.1,4.8,8.8,.541,0.0,0.0,.000,4.8,8.8,.543,1.8,2.3,.792,1.2,5.3,1.9,0.8,0.2,1.1,1.8,11.3
Frida Eldebrink,SAS,G,8,44,8,0,5.5,0.1,1.0,.125,0.0,0.8,.000,0.1,0.3,.500,0.1,0.3,.500,0.1,0.4,0.9,0.1,0.0,0.5,0.3,0.4
Kelly Faris,CON,G,31,317,31,0,10.2,0.7,1.7,.396,0.2,0.6,.250,0.5,1.1,.485,0.5,0.5,.933,0.4,1.2,0.7,0.7,0.1,0.9,1.5,2.0
Jamierra Faulkner,CHI,G,34,655,34,14,19.3,3.0,7.1,.425,0.6,1.9,.333,2.4,5.1,.460,1.2,1.5,.769,0.3,1.5,4.6,1.1,0.1,2.1,1.8,7.8
Nirra Fields,PHO,G,4,17,4,0,4.3,0.3,1.8,.143,0.0,0.3,.000,0.3,1.5,.167,0.3,0.5,.500,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8
Sylvia Fowles,MIN,C,34,969,34,34,28.5,5.4,9.0,.595,0.0,0.0,,5.4,9.0,.595,3.2,4.5,.717,2.5,8.5,1.2,1.3,1.8,1.9,3.0,13.9
Bashaara Graves,MIN,F,12,41,12,0,3.4,0.2,0.6,.286,0.0,0.0,,0.2,0.6,.286,0.0,0.0,,0.3,0.3,0.2,0.0,0.0,0.3,0.3,0.3
