Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Christi Thomas,LAS,F-C,31,547,31,8,547,66,143,.462,5,11,.455,61,132,.462,28,41,.683,43,120,23,18,14,27,80,165
LaToya Thomas,SAS,F,31,964,31,30,964,171,350,.489,3,8,.375,168,342,.491,95,113,.841,48,138,42,25,11,56,99,440
Stacey Thomas,DET,F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Alicia Thompson,SEA,F,23,182,23,2,182,24,54,.444,3,16,.188,21,38,.553,1,2,.500,8,24,9,6,0,7,9,52
Tina Thompson*,HOU,F,26,943,26,26,943,180,448,.402,44,108,.407,136,340,.400,116,147,.789,44,157,48,22,23,69,68,520
Erin Thorn,NYL,G,17,156,17,1,156,12,45,.267,9,31,.290,3,14,.214,1,2,.500,0,8,8,4,1,9,5,34
Iciss Tillis,DET,F-C,31,287,31,1,287,35,74,.473,6,18,.333,29,56,.518,7,12,.583,13,39,13,9,8,23,23,83
Slobodanka Tuvic,PHO,C,33,691,33,26,691,37,99,.374,0,1,.000,37,98,.378,17,24,.708,25,123,32,25,37,41,115,91
Mfon Udoka,LAS,F,3,19,3,0,19,0,2,.000,0,0,,0,2,.000,1,4,.250,2,3,0,0,0,1,5,1
Michele Van Gorp,MIN,C,8,66,8,0,66,9,19,.474,0,1,.000,9,18,.500,4,8,.500,6,13,1,0,1,7,8,22
Kamila Vodichkova,SEA,F-C,34,873,34,34,873,94,241,.390,1,2,.500,93,239,.389,84,108,.778,65,168,55,32,12,73,110,273
Ayana Walker,DET,F,18,148,18,1,148,8,28,.286,0,0,,8,28,.286,2,6,.333,10,26,6,1,4,5,13,18
DeMya Walker,SAC,F,34,884,34,34,884,111,267,.416,0,10,.000,111,257,.432,62,103,.602,72,143,86,26,13,86,109,284
Ann Wauters,NYL,C,13,271,13,4,271,29,66,.439,1,3,.333,28,63,.444,23,29,.793,10,40,21,4,8,21,28,82
Teresa Weatherspoon*,LAS,G,34,292,34,0,292,8,25,.320,1,3,.333,7,22,.318,0,0,,6,29,32,12,1,26,27,17
Lindsay Whalen*,CON,G,31,946,31,30,946,83,183,.454,20,57,.351,63,126,.500,89,122,.730,21,90,148,39,0,94,72,275
DeTrina White,NYL,F,31,420,31,2,420,37,68,.544,0,0,,37,68,.544,8,17,.471,51,118,9,8,10,36,37,82
Tamika Whitmore,LAS,F,34,595,34,5,595,77,173,.445,7,16,.438,70,157,.446,49,72,.681,38,106,17,12,5,34,73,210
Le'coe Willingham,CON,F,23,175,23,0,175,24,38,.632,0,1,.000,24,37,.649,20,26,.769,22,43,7,8,2,12,16,68
Natalie Williams,IND,C,34,956,34,34,956,133,293,.454,0,4,.000,133,289,.460,83,119,.697,93,235,62,40,23,65,122,349
Tamika Williams,MIN,F,34,978,34,33,978,102,189,.540,1,4,.250,101,185,.546,49,87,.563,82,205,38,39,5,66,65,254
Toccara Williams,SAS,G,26,417,26,4,417,16,46,.348,1,2,.500,15,44,.341,22,29,.759,7,39,43,35,5,31,36,55
Shereka Wright,PHO,F,24,243,24,0,243,13,42,.310,6,13,.462,7,29,.241,25,32,.781,17,27,8,3,1,15,19,57
Nevriye Yilmaz,SAS,C,7,77,7,0,77,6,24,.250,1,7,.143,5,17,.294,6,6,1.000,3,10,2,3,1,4,15,19
La'Keshia Frett,TOT,F,26,347,26,2,347,47,98,.480,0,0,,47,98,.480,23,37,.622,17,50,18,10,7,24,29,117
Gwen Jackson,TOT,F,33,426,33,4,426,46,93,.495,1,6,.167,45,87,.517,24,32,.750,31,81,15,6,4,15,34,117
Jae Kingi-Cross,TOT,G,18,143,18,0,143,6,18,.333,3,7,.429,3,11,.273,8,11,.727,5,14,13,5,2,9,11,23
Adrian Williams-Strong,TOT,C-F,23,294,23,8,294,42,105,.400,0,0,,42,105,.400,13,21,.619,16,49,13,19,6,27,35,97
La'Keshia Frett,CHA,F,10,71,10,0,71,6,13,.462,0,0,,6,13,.462,3,6,.500,3,10,4,1,2,10,4,15
Gwen Jackson,SAS,F,19,290,19,4,290,23,48,.479,0,1,.000,23,47,.489,15,21,.714,20,54,11,3,3,11,23,61
Jae Kingi-Cross,DET,G,5,15,5,0,15,0,0,,0,0,,0,0,,3,4,.750,0,1,1,0,0,2,1,3
Adrian Williams-Strong,PHO,C-F,11,145,11,8,145,27,60,.450,0,0,,27,60,.450,11,14,.786,10,21,5,11,5,15,16,65
La'Keshia Frett,NYL,F,16,276,16,2,276,41,85,.482,0,0,,41,85,.482,20,31,.645,14,40,14,9,5,14,25,102
Gwen Jackson,PHO,F,14,136,14,0,136,23,45,.511,1,5,.200,22,40,.550,9,11,.818,11,27,4,3,1,4,11,56
Jae Kingi-Cross,PHO,G,13,128,13,0,128,6,18,.333,3,7,.429,3,11,.273,5,7,.714,5,13,12,5,2,7,10,20
Adrian Williams-Strong,SAS,C-F,12,149,12,0,149,15,45,.333,0,0,,15,45,.333,2,7,.286,6,28,8,8,1,12,19,32
