Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
432,Xavier Cooks,27,WAS,PF,10,1,12.6,1.7,2.8,0.607,0.0,0.1,0.0,1.7,2.7,0.63,0.607,0.4,1.0,0.4,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,Orlando Robinson,22,MIA,C,31,1,13.7,1.5,2.9,0.528,0.0,0.2,0.0,1.5,2.7,0.566,0.528,0.7,1.0,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,Nathan Knight,25,MIN,C,38,0,7.7,1.2,2.1,0.568,0.2,0.6,0.364,1.0,1.6,0.644,0.617,1.0,1.5,0.684,0.6,0.9,1.5,0.3,0.3,0.2,0.6,1.1,3.7,37.0,70,1,2021-22,3.7,2.3,0.6,0.2,0.2,7.2,37.0,2.4,1.2,0.5,0.1,0.4,1.1,0.308,2.0,0.547,0.733
435,Jordan McLaughlin,26,MIN,PG,43,0,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.9,1.6,0.552,0.503,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7,62.0,143,2,2021-22,3.8,1.5,2.9,0.9,0.2,14.5,62.0,3.2,1.4,0.6,0.4,1.4,1.0,0.318,1.9,0.53,0.75
436,David Duke Jr.,23,BRK,SG,23,0,9.9,1.6,3.4,0.462,0.0,0.5,0.083,1.5,2.9,0.53,0.468,0.5,0.7,0.706,0.5,0.8,1.3,0.9,0.4,0.0,0.8,1.3,3.7,22.0,22,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,Bryn Forbes,29,MIN,SG,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,75.0,406,6,2021-22,8.8,1.2,1.0,0.3,0.1,17.1,75.0,7.2,3.1,0.7,1.6,3.9,1.5,0.414,3.3,0.447,0.908
438,Miles McBride,22,NYK,PG,64,2,11.9,1.2,3.4,0.358,0.6,2.1,0.299,0.6,1.3,0.457,0.451,0.4,0.7,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5,40.0,40,1,2021-22,2.2,1.1,1.0,0.4,0.0,9.3,40.0,2.7,0.8,0.1,0.4,1.7,0.4,0.25,1.0,0.375,0.667
439,P.J. Tucker,37,PHI,PF,75,75,25.6,1.3,3.0,0.427,0.7,1.9,0.393,0.5,1.1,0.482,0.549,0.3,0.3,0.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5,71.0,777,10,2021-22,7.6,5.5,2.1,0.8,0.2,27.9,71.0,6.0,2.9,0.9,1.1,2.7,1.8,0.415,3.3,0.54,0.738
440,Udoka Azubuike,23,UTA,C,36,4,10.0,1.6,2.0,0.819,0.0,0.0,,1.6,2.0,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,17.0,32,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Kai Jones,22,CHO,C,46,0,12.0,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.575,0.4,0.6,0.731,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4,21.0,21,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Amir Coffey,25,LAC,SF,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1.0,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,69.0,131,2,2021-22,9.0,2.9,1.8,0.6,0.2,22.7,69.0,6.8,3.1,0.7,1.4,3.7,1.7,0.378,3.1,0.542,0.863
443,Wesley Matthews,36,MIL,SF,52,0,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.4,0.7,0.528,0.484,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4,49.0,898,13,2021-22,5.1,1.9,0.7,0.5,0.2,20.4,49.0,4.5,1.8,0.4,1.1,3.2,0.7,0.338,1.3,0.54,0.786
444,Jericho Sims,24,NYK,C,52,16,15.6,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,0.776,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4,41.0,41,1,2021-22,2.2,4.1,0.5,0.3,0.5,13.5,41.0,1.3,1.0,0.5,0.0,0.0,1.0,,1.3,0.722,0.414
445,Micah Potter,24,UTA,PF,7,0,7.4,1.4,2.1,0.667,0.6,1.0,0.571,0.9,1.1,0.75,0.8,0.0,0.0,,0.4,1.9,2.3,0.6,0.1,0.0,0.3,0.7,3.4,3.0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Juan Toscano-Anderson,29,2TM,SF,52,9,13.5,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.476,0.4,0.5,0.792,0.5,1.8,2.4,1.3,0.3,0.2,0.7,1.5,3.0,73.0,139,2,2021-22,4.1,2.4,1.7,0.7,0.2,13.6,73.0,3.2,1.6,0.9,0.4,1.2,1.2,0.322,2.0,0.588,0.571
446,Juan Toscano-Anderson,29,LAL,SF,30,7,12.2,1.1,2.2,0.5,0.1,0.7,0.2,1.0,1.5,0.63,0.53,0.4,0.5,0.733,0.5,1.6,2.0,0.8,0.3,0.2,0.6,1.5,2.7,73.0,139,2,2021-22,4.1,2.4,1.7,0.7,0.2,13.6,73.0,3.2,1.6,0.9,0.4,1.2,1.2,0.322,2.0,0.588,0.571
446,Juan Toscano-Anderson,29,UTA,SF,22,2,15.2,1.4,3.5,0.403,0.2,1.0,0.174,1.2,2.5,0.5,0.429,0.4,0.4,0.889,0.6,2.2,2.9,1.8,0.3,0.1,0.8,1.5,3.4,73.0,139,2,2021-22,4.1,2.4,1.7,0.7,0.2,13.6,73.0,3.2,1.6,0.9,0.4,1.2,1.2,0.322,2.0,0.588,0.571
447,Taj Gibson,37,WAS,C,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,52.0,896,13,2021-22,4.4,4.4,0.6,0.4,0.8,18.2,52.0,3.2,1.7,0.5,0.3,0.7,1.4,0.395,2.5,0.555,0.808
448,Raul Neto,30,CLE,PG,48,1,10.5,1.2,2.3,0.518,0.3,0.9,0.286,0.9,1.4,0.662,0.573,0.6,0.7,0.912,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3,70.0,387,7,2021-22,7.5,1.9,3.1,0.8,0.0,19.6,70.0,6.3,2.9,1.1,0.5,1.7,2.4,0.292,4.6,0.526,0.769
