Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
9,Tony Allen,SG,35,MEM,71,66,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,64.0,727,11,2015-16,8.4,4.6,1.1,1.7,0.3,25.3,64.0,7.3,3.4,1.2,0.2,0.7,3.1,0.357,6.7,0.468,0.652
10,Al-Farouq Aminu,PF,26,POR,61,25,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,82.0,459,6,2015-16,10.2,6.1,1.7,0.9,0.6,28.5,82.0,8.8,3.6,1.5,1.5,4.3,2.1,0.361,4.5,0.468,0.737
11,Chris Andersen,C,38,CLE,12,0,9.5,0.8,1.8,0.409,0.0,0.3,0.0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,27.0,683,9,2014-15,5.3,5.0,0.7,0.4,1.0,18.9,60.0,3.5,2.0,0.7,0.1,0.2,1.9,0.308,3.2,0.598,0.667
12,Alan Anderson,SF,34,LAC,30,0,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9,13.0,300,4,2014-15,7.4,2.8,1.1,0.8,0.1,23.6,74.0,5.9,2.6,0.8,1.0,2.8,1.6,0.348,3.1,0.53,0.812
13,Justin Anderson,SF,23,TOT,75,10,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,55.0,55,1,2015-16,3.8,2.4,0.5,0.3,0.5,11.8,55.0,3.2,1.3,0.4,0.4,1.5,0.9,0.265,1.7,0.533,0.8
13,Justin Anderson,SF,23,DAL,51,2,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3.0,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,55.0,55,1,2015-16,3.8,2.4,0.5,0.3,0.5,11.8,55.0,3.2,1.3,0.4,0.4,1.5,0.9,0.265,1.7,0.533,0.8
13,Justin Anderson,SF,23,PHI,24,8,21.6,3.1,6.8,0.463,0.9,3.0,0.292,2.3,3.8,0.6,0.528,1.3,1.7,0.78,1.3,2.8,4.0,1.4,0.5,0.3,1.1,1.9,8.5,55.0,55,1,2015-16,3.8,2.4,0.5,0.3,0.5,11.8,55.0,3.2,1.3,0.4,0.4,1.5,0.9,0.265,1.7,0.533,0.8
14,Kyle Anderson,SF,23,SAS,72,14,14.2,1.3,2.9,0.445,0.2,0.6,0.375,1.1,2.3,0.462,0.481,0.6,0.8,0.789,0.5,2.4,2.9,1.3,0.7,0.4,0.5,0.9,3.4,78.0,111,1,2015-16,4.5,3.1,1.6,0.8,0.4,16.0,78.0,3.8,1.8,0.8,0.2,0.5,1.6,0.324,3.3,0.488,0.747
15,Ryan Anderson,PF,28,HOU,72,72,29.4,4.5,10.7,0.418,2.8,7.0,0.403,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,66.0,484,7,2015-16,17.0,6.0,1.1,0.6,0.4,30.4,66.0,14.1,6.0,1.4,2.0,5.4,4.0,0.366,8.7,0.466,0.873
16,Giannis Antetokounmpo,SF,22,MIL,80,80,35.6,8.2,15.7,0.521,0.6,2.3,0.272,7.6,13.5,0.563,0.541,5.9,7.7,0.77,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,80.0,238,3,2015-16,16.9,7.7,4.3,1.2,1.4,35.3,80.0,12.7,6.4,2.6,0.4,1.4,6.1,0.257,11.3,0.537,0.724
17,Carmelo Anthony,SF,32,NYK,74,74,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,72.0,902,13,2015-16,21.8,7.7,4.2,0.9,0.5,35.1,72.0,18.2,7.9,2.4,1.5,4.3,6.4,0.339,13.8,0.463,0.829
18,Joel Anthony,C,34,SAS,19,0,6.4,0.5,0.8,0.625,0.0,0.0,,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,19.0,471,6,2014-15,1.8,1.9,0.1,0.2,1.0,8.3,49.0,1.3,0.7,0.2,0.0,0.0,0.7,,1.3,0.581,0.682
19,Trevor Ariza,SF,31,HOU,80,80,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,81.0,795,11,2015-16,12.7,4.5,2.3,2.0,0.3,35.3,81.0,10.6,4.4,1.4,2.3,6.2,2.1,0.371,4.4,0.478,0.783
20,Darrell Arthur,PF,28,DEN,41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.453,1.0,2.4,0.429,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,70.0,443,6,2015-16,7.5,4.2,1.4,0.8,0.7,21.7,70.0,7.0,3.2,0.9,0.6,1.7,2.5,0.385,5.3,0.473,0.755
21,Ömer Aşık,C,30,NOP,31,19,15.5,1.0,2.1,0.477,0.0,0.0,,1.0,2.1,0.477,0.477,0.7,1.3,0.59,1.5,3.7,5.3,0.5,0.2,0.3,0.5,1.6,2.7,68.0,422,6,2015-16,4.0,6.1,0.4,0.3,0.3,17.3,68.0,2.9,1.5,0.9,0.0,0.0,1.5,,2.9,0.533,0.545
22,D.J. Augustin,PG,29,ORL,78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,62.0,573,8,2015-16,7.5,1.5,3.2,0.6,0.1,19.0,62.0,5.6,2.4,1.4,1.1,2.7,1.3,0.405,2.9,0.44,0.805
23,Luke Babbitt,SF,27,MIA,68,55,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,47.0,263,4,2015-16,7.0,3.1,1.1,0.2,0.1,18.0,47.0,6.1,2.6,0.5,0.9,2.3,1.7,0.404,3.8,0.433,0.78
24,Ron Baker,SG,23,NYK,52,13,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Wade Baldwin,PG,20,MEM,33,1,12.3,1.1,3.5,0.313,0.1,0.7,0.136,1.0,2.8,0.355,0.326,0.9,1.1,0.838,0.3,1.1,1.4,1.8,0.5,0.2,1.2,1.2,3.2,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Leandro Barbosa,SG,34,PHO,67,0,14.4,2.6,5.9,0.439,0.5,1.5,0.357,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,68.0,783,12,2015-16,6.4,1.7,1.2,0.6,0.1,15.9,68.0,5.4,2.5,0.8,0.6,1.6,1.9,0.355,3.8,0.508,0.839
27,J.J. Barea,PG,32,DAL,35,6,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,74.0,660,9,2015-16,10.9,2.1,4.1,0.4,0.0,22.5,74.0,9.6,4.3,1.5,1.4,3.5,2.9,0.385,6.1,0.481,0.771
28,Harrison Barnes,PF,24,DAL,79,79,35.5,7.6,16.2,0.468,1.0,2.8,0.351,6.6,13.4,0.492,0.498,3.1,3.6,0.861,1.2,3.8,5.0,1.5,0.8,0.2,1.3,1.6,19.2,66.0,307,4,2015-16,11.7,4.9,1.8,0.6,0.2,30.9,66.0,9.6,4.5,0.9,1.2,3.2,3.2,0.383,6.3,0.508,0.761
29,Matt Barnes,SF,36,TOT,74,18,24.0,2.5,6.4,0.391,1.2,3.6,0.331,1.3,2.8,0.467,0.483,0.9,1.2,0.787,0.9,4.2,5.2,2.6,0.6,0.4,1.4,2.5,7.1,76.0,855,13,2015-16,10.0,5.5,2.1,1.0,0.8,28.8,76.0,9.1,3.5,1.6,1.6,4.9,1.9,0.322,4.3,0.449,0.804
29,Matt Barnes,SF,36,SAC,54,13,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1.0,4.4,5.4,2.8,0.7,0.3,1.5,2.6,7.6,76.0,855,13,2015-16,10.0,5.5,2.1,1.0,0.8,28.8,76.0,9.1,3.5,1.6,1.6,4.9,1.9,0.322,4.3,0.449,0.804
29,Matt Barnes,SF,36,GSW,20,5,20.5,1.9,4.5,0.422,0.9,2.6,0.346,1.0,1.9,0.526,0.522,1.0,1.2,0.87,0.8,3.8,4.6,2.3,0.6,0.5,1.2,2.4,5.7,76.0,855,13,2015-16,10.0,5.5,2.1,1.0,0.8,28.8,76.0,9.1,3.5,1.6,1.6,4.9,1.9,0.322,4.3,0.449,0.804
