Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
192,Lindsey Hunter,PG,36,DET,52,0,14.3,1.8,4.7,0.385,0.7,2.3,0.319,1.1,2.4,0.448,0.463,0.6,0.6,0.909,0.2,0.7,0.9,1.8,0.7,0.1,0.7,1.1,4.9,30.0,250,2,2004-05,3.8,1.6,1.7,0.9,0.2,15.1,76.0,4.0,1.4,0.9,0.3,1.1,1.1,0.274,2.9,0.39,0.793,2001-02
193,Steven Hunter,PF,25,PHI,70,41,22.9,2.7,4.7,0.577,0.0,0.0,,2.7,4.7,0.577,0.577,1.1,2.2,0.49,1.6,3.2,4.8,0.4,0.2,1.1,0.9,2.0,6.4,69.0,290,4,2005-06,6.1,3.9,0.2,0.2,1.1,19.0,69.0,4.2,2.5,0.9,0.0,0.0,2.5,,4.2,0.601,0.514,2005-06
194,Andre Iguodala,SG,23,PHI,76,76,40.3,5.8,13.0,0.447,0.6,2.0,0.31,5.2,11.0,0.472,0.471,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6,18.2,82.0,164,2,2005-06,12.3,5.9,3.1,1.6,0.3,37.6,82.0,8.4,4.2,1.9,0.7,1.9,3.5,0.354,6.5,0.543,0.754,2005-06
195,Zydrunas Ilgauskas,C,31,CLE,78,78,27.3,4.9,10.2,0.485,0.0,0.0,0.0,4.9,10.2,0.486,0.485,2.0,2.5,0.807,3.1,4.6,7.7,1.6,0.6,1.3,1.8,3.3,11.9,78.0,380,5,2005-06,15.6,7.6,1.2,0.5,1.7,29.3,78.0,11.4,5.8,2.0,0.0,0.1,5.8,0.0,11.3,0.509,0.834,2002-03
196,Mile Ilić,C,22,NJN,5,0,1.2,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
197,D.J. Mbenga,C,26,DAL,21,0,3.8,0.2,0.8,0.313,0.0,0.0,,0.2,0.8,0.313,0.313,0.3,0.4,0.875,0.1,0.4,0.5,0.3,0.1,0.2,0.2,0.8,0.8,43.0,58,1,2005-06,1.7,1.3,0.0,0.1,0.6,5.5,43.0,1.4,0.7,0.4,0.0,0.0,0.7,0.0,1.4,0.542,0.5,2005-06
198,Ersan İlyasova,PF,19,MIL,66,14,14.7,2.1,5.5,0.383,0.8,2.2,0.365,1.3,3.3,0.395,0.457,1.1,1.3,0.787,0.9,2.0,2.9,0.7,0.4,0.3,0.8,2.2,6.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
199,Allen Iverson,SG-PG,31,TOT,65,64,42.5,8.9,20.2,0.442,1.0,3.0,0.315,8.0,17.2,0.465,0.466,7.5,9.4,0.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3,72.0,337,5,2005-06,33.0,3.2,7.4,1.9,0.1,43.1,72.0,25.3,11.3,3.4,1.0,3.1,10.3,0.323,22.2,0.465,0.814,2005-06
199,Allen Iverson,PG,31,PHI,15,15,42.7,10.1,24.4,0.413,0.8,3.5,0.226,9.3,20.9,0.444,0.429,10.3,11.6,0.885,0.5,2.3,2.7,7.3,2.2,0.1,4.4,1.4,31.2,72.0,337,5,2005-06,33.0,3.2,7.4,1.9,0.1,43.1,72.0,25.3,11.3,3.4,1.0,3.1,10.3,0.323,22.2,0.465,0.814,2005-06
199,Allen Iverson,SG,31,DEN,50,49,42.4,8.6,18.9,0.454,1.0,2.9,0.347,7.6,16.1,0.473,0.48,6.6,8.7,0.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,24.8,72.0,337,5,2005-06,33.0,3.2,7.4,1.9,0.1,43.1,72.0,25.3,11.3,3.4,1.0,3.1,10.3,0.323,22.2,0.465,0.814,2005-06
200,Royal Ivey,PG,25,ATL,53,18,10.2,1.2,2.7,0.448,0.1,0.3,0.313,1.1,2.4,0.465,0.465,0.5,0.7,0.686,0.3,0.7,1.0,0.8,0.5,0.1,0.6,1.2,3.0,73.0,135,2,2005-06,3.6,1.3,1.0,0.3,0.1,13.4,73.0,3.6,1.6,0.3,0.1,0.1,1.5,0.4,3.5,0.441,0.727,2005-06
201,Jarrett Jack,PG,23,POR,79,79,33.6,4.1,8.9,0.454,0.8,2.3,0.35,3.3,6.6,0.49,0.499,3.1,3.5,0.871,0.2,2.4,2.6,5.3,1.1,0.1,2.4,2.6,12.0,79.0,79,1,2005-06,6.7,2.0,2.8,0.5,0.0,20.2,79.0,5.4,2.4,1.3,0.3,1.0,2.1,0.263,4.5,0.48,0.8,2005-06
202,Bobby Jackson,SG,33,NOK,56,2,23.8,3.6,9.3,0.394,1.0,2.9,0.327,2.7,6.3,0.425,0.446,2.3,3.0,0.774,0.8,2.4,3.2,2.5,0.9,0.1,1.4,1.8,10.6,71.0,286,4,2005-06,11.4,3.1,2.7,0.9,0.0,25.0,71.0,10.5,4.0,1.4,1.8,4.7,2.2,0.389,5.9,0.377,0.733,2002-03
203,Luke Jackson,SF,25,TOT,13,2,10.6,1.5,3.3,0.442,0.4,1.3,0.294,1.1,2.0,0.538,0.5,0.4,0.7,0.556,0.2,0.6,0.8,1.0,0.4,0.1,0.5,1.2,3.7,36.0,46,1,2005-06,2.7,1.1,0.7,0.3,0.1,8.8,36.0,2.4,0.8,0.9,0.3,1.0,0.5,0.333,1.4,0.347,0.788,2005-06
203,Luke Jackson,SF,25,LAC,3,0,5.3,0.3,2.7,0.125,0.3,1.3,0.25,0.0,1.3,0.0,0.188,0.0,0.0,,0.0,0.3,0.3,1.3,0.0,0.0,0.3,1.0,1.0,36.0,46,1,2005-06,2.7,1.1,0.7,0.3,0.1,8.8,36.0,2.4,0.8,0.9,0.3,1.0,0.5,0.333,1.4,0.347,0.788,2005-06
203,Luke Jackson,SF,25,TOR,10,2,12.2,1.8,3.5,0.514,0.4,1.3,0.308,1.4,2.2,0.636,0.571,0.5,0.9,0.556,0.2,0.7,0.9,0.9,0.5,0.1,0.6,1.2,4.5,36.0,46,1,2005-06,2.7,1.1,0.7,0.3,0.1,8.8,36.0,2.4,0.8,0.9,0.3,1.0,0.5,0.333,1.4,0.347,0.788,2005-06
204,Marc Jackson,PF,32,NOK,56,25,18.3,2.8,6.9,0.41,0.0,0.0,0.0,2.8,6.9,0.411,0.41,1.6,1.8,0.874,1.1,2.3,3.4,1.0,0.4,0.1,1.2,1.6,7.3,64.0,283,4,2005-06,6.5,3.4,0.7,0.2,0.1,16.0,64.0,5.8,2.7,1.0,0.0,0.0,2.7,0.5,5.7,0.471,0.805,2004-05
205,Stephen Jackson,SF-SG,28,TOT,75,69,33.1,5.5,12.6,0.433,1.3,4.1,0.322,4.1,8.4,0.488,0.486,3.2,4.0,0.813,0.8,2.1,3.0,3.8,1.1,0.5,2.4,2.7,15.5,81.0,315,4,2005-06,16.4,3.9,2.8,1.3,0.5,35.9,81.0,14.2,5.8,2.5,1.4,4.2,4.4,0.345,10.0,0.439,0.786,2004-05
205,Stephen Jackson,SG,28,IND,37,32,32.1,4.9,11.6,0.419,1.1,3.7,0.297,3.8,7.9,0.476,0.466,3.2,3.9,0.822,0.5,2.1,2.6,3.1,0.9,0.5,2.2,2.4,14.1,81.0,315,4,2005-06,16.4,3.9,2.8,1.3,0.5,35.9,81.0,14.2,5.8,2.5,1.4,4.2,4.4,0.345,10.0,0.439,0.786,2004-05
205,Stephen Jackson,SF,28,GSW,38,37,34.0,6.0,13.5,0.446,1.6,4.6,0.341,4.5,9.0,0.499,0.503,3.2,4.0,0.804,1.2,2.2,3.3,4.6,1.3,0.4,2.7,3.0,16.8,81.0,315,4,2005-06,16.4,3.9,2.8,1.3,0.5,35.9,81.0,14.2,5.8,2.5,1.4,4.2,4.4,0.345,10.0,0.439,0.786,2004-05
206,Jerome James,C,31,NYK,41,11,6.7,0.8,1.9,0.418,0.0,0.0,,0.8,1.9,0.418,0.418,0.2,0.4,0.556,0.5,1.1,1.6,0.1,0.1,0.4,0.6,1.8,1.9,45.0,297,5,2005-06,3.0,2.0,0.3,0.1,0.5,9.0,45.0,2.7,1.2,1.1,0.0,0.0,1.2,,2.7,0.463,0.625,2002-03
207,LeBron James,SF,22,CLE,78,78,40.9,9.9,20.8,0.476,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,79.0,238,3,2005-06,31.4,7.0,6.6,1.6,0.8,42.5,79.0,23.1,11.1,3.3,1.6,4.8,9.5,0.335,18.3,0.518,0.738,2005-06
