Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
332,Delon Wright,31,2TM,PG,47,1,15.8,1.6,4.0,0.394,0.5,1.4,0.368,1.0,2.6,0.408,0.46,0.8,1.0,0.822,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.5,50.0,461,6,2022-23,7.4,3.6,3.9,1.8,0.3,24.4,50.0,5.8,2.8,0.9,0.8,2.4,1.9,0.345,3.4,0.564,0.867,2020-21
332,Delon Wright,31,WAS,PG,33,0,13.8,1.5,3.7,0.393,0.4,1.2,0.368,1.0,2.5,0.405,0.451,0.7,0.9,0.828,0.4,1.4,1.8,2.5,1.1,0.2,0.3,0.7,4.1,50.0,461,6,2022-23,7.4,3.6,3.9,1.8,0.3,24.4,50.0,5.8,2.8,0.9,0.8,2.4,1.9,0.345,3.4,0.564,0.867,2020-21
332,Delon Wright,31,MIA,PG,14,1,20.4,1.9,4.7,0.394,0.8,2.1,0.367,1.1,2.6,0.417,0.477,0.9,1.1,0.813,0.4,1.5,1.9,2.6,1.4,0.2,0.2,0.7,5.4,50.0,461,6,2022-23,7.4,3.6,3.9,1.8,0.3,24.4,50.0,5.8,2.8,0.9,0.8,2.4,1.9,0.345,3.4,0.564,0.867,2020-21
333,Matt Ryan,26,NOP,SF,28,1,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.3,0.8,0.364,0.615,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4,34.0,35,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
334,Ricky Council IV,22,PHI,SG,32,0,9.0,1.7,3.5,0.482,0.4,1.0,0.375,1.3,2.5,0.525,0.536,1.7,2.2,0.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
335,Matisse Thybulle,26,POR,SF,65,19,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.7,1.3,0.535,0.524,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,71.0,267,4,2022-23,4.1,2.0,0.7,1.2,0.5,16.9,71.0,3.6,1.5,0.3,0.8,2.1,0.8,0.365,1.5,0.533,0.679,2021-22
336,Keon Ellis,24,SAC,SG,57,21,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,1.1,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4,16.0,16,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
337,Sasha Vezenkov,28,SAC,PF,42,0,12.2,2.0,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1.0,5.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
338,Kris Dunn,29,UTA,PG,66,32,18.9,2.2,4.7,0.47,0.6,1.7,0.369,1.6,3.1,0.525,0.535,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4,22.0,267,4,2019-20,7.3,3.6,3.4,2.0,0.3,24.9,51.0,6.7,3.0,1.3,0.6,2.2,2.4,0.259,4.5,0.535,0.741,2017-18
339,Luke Kornet,28,BOS,C,63,7,15.6,2.3,3.2,0.7,0.0,0.0,1.0,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1.0,0.3,1.2,5.3,69.0,217,3,2022-23,3.8,2.9,0.8,0.2,0.7,11.7,69.0,2.5,1.6,0.4,0.0,0.2,1.6,0.231,2.3,0.701,0.821,2018-19
340,Stanley Umude,24,DET,SG,24,2,12.8,1.5,3.5,0.44,1.0,2.2,0.453,0.5,1.3,0.419,0.583,1.2,1.3,0.906,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.7,5.3,1.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
341,Mason Plumlee,33,LAC,C,46,11,14.7,1.9,3.3,0.569,0.0,0.1,0.0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,79.0,740,10,2022-23,10.8,8.9,3.1,0.6,0.6,26.0,79.0,6.1,4.2,1.5,0.0,0.0,4.2,,6.1,0.68,0.636,2022-23
342,Davion Mitchell,25,SAC,PG,72,4,15.3,2.0,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0.0,0.6,1.2,5.3,80.0,155,2,2022-23,5.6,1.3,2.3,0.6,0.2,18.1,80.0,5.0,2.3,0.8,0.8,2.5,1.5,0.32,2.5,0.584,0.806,2021-22
343,Brandon Boston Jr.,22,LAC,SF,32,0,10.8,2.0,5.0,0.404,0.4,1.6,0.269,1.6,3.4,0.468,0.447,0.7,1.0,0.697,0.6,1.0,1.6,0.4,0.3,0.3,0.8,1.3,5.2,22.0,73,1,2021-22,6.7,2.2,1.0,0.5,0.3,14.9,51.0,6.4,2.5,0.6,0.7,2.2,1.8,0.306,4.2,0.425,0.819,2021-22
344,Jarred Vanderbilt,24,LAL,PF,29,6,20.0,2.0,3.9,0.518,0.3,0.9,0.296,1.8,3.0,0.586,0.553,0.8,1.2,0.667,1.4,3.3,4.8,1.2,1.2,0.2,1.0,1.5,5.2,78.0,244,3,2022-23,7.9,7.5,2.4,1.1,0.3,24.1,78.0,5.8,3.2,1.2,0.4,1.2,2.8,0.322,4.6,0.604,0.691,2022-23
345,Bismack Biyombo,31,2TM,C,40,27,19.8,1.9,3.3,0.565,0.0,0.0,,1.9,3.3,0.565,0.565,0.7,1.4,0.481,1.6,3.7,5.2,1.3,0.3,0.9,1.1,2.2,4.4,61.0,799,12,2022-23,4.3,4.3,0.9,0.3,1.4,14.3,61.0,3.4,2.0,0.8,0.0,0.0,2.0,,3.4,0.578,0.357,2019-20
345,Bismack Biyombo,31,MEM,C,30,27,23.9,2.2,4.0,0.563,0.0,0.0,,2.2,4.0,0.563,0.563,0.7,1.5,0.478,1.9,4.5,6.4,1.7,0.3,1.1,1.3,2.7,5.2,61.0,799,12,2022-23,4.3,4.3,0.9,0.3,1.4,14.3,61.0,3.4,2.0,0.8,0.0,0.0,2.0,,3.4,0.578,0.357,2019-20
345,Bismack Biyombo,31,OKC,C,10,0,7.3,0.7,1.2,0.583,0.0,0.0,,0.7,1.2,0.583,0.583,0.4,0.8,0.5,0.5,1.3,1.8,0.2,0.1,0.3,0.4,0.7,1.8,61.0,799,12,2022-23,4.3,4.3,0.9,0.3,1.4,14.3,61.0,3.4,2.0,0.8,0.0,0.0,2.0,,3.4,0.578,0.357,2019-20
346,Bol Bol,24,PHO,PF,43,0,10.9,2.2,3.5,0.616,0.5,1.2,0.423,1.7,2.3,0.717,0.689,0.3,0.4,0.789,0.7,2.4,3.2,0.4,0.2,0.6,0.4,1.0,5.2,70.0,123,1,2022-23,9.1,5.8,1.0,0.4,1.2,21.5,70.0,6.8,3.7,1.6,0.4,1.6,3.3,0.265,5.2,0.633,0.759,2022-23
347,Bryce McGowens,21,CHO,SG,59,14,14.9,1.7,3.9,0.439,0.6,1.7,0.333,1.1,2.2,0.523,0.513,1.1,1.4,0.776,0.3,1.4,1.7,0.9,0.4,0.2,0.5,1.3,5.1,46.0,46,1,2022-23,5.3,2.0,1.2,0.3,0.1,17.1,46.0,4.4,1.7,0.9,0.6,1.7,1.2,0.325,2.7,0.443,0.75,2022-23
348,Monte Morris,28,2TM,PG,33,0,14.4,1.9,4.6,0.405,0.8,2.1,0.386,1.1,2.5,0.422,0.493,0.4,0.6,0.684,0.2,1.5,1.7,2.1,0.6,0.3,0.2,0.4,5.0,62.0,342,5,2022-23,10.3,3.4,5.3,0.7,0.2,27.3,62.0,8.3,4.0,1.0,1.3,3.3,2.7,0.382,5.0,0.543,0.831,2021-22
348,Monte Morris,28,DET,PG,6,0,11.3,2.0,5.5,0.364,0.3,1.8,0.182,1.7,3.7,0.455,0.394,0.2,0.3,0.5,0.3,1.7,2.0,1.3,0.2,0.2,0.3,0.2,4.5,62.0,342,5,2022-23,10.3,3.4,5.3,0.7,0.2,27.3,62.0,8.3,4.0,1.0,1.3,3.3,2.7,0.382,5.0,0.543,0.831,2021-22
