Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Previous Season,PS_PER,PS_TRB%,PS_AST%,PS_BPM,PS_VORP,PS_USG%,PS_WS,PS_WS/48,Best Season,BS_PER,BS_TRB%,BS_AST%,BS_BPM,BS_VORP,BS_USG%,BS_WS,BS_WS/48
39,Michael Beasley,SF,22,MIN,73,2361,15.5,0.51,0.132,0.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,,0.7,1.0,1.7,0.035,,0.0,-1.8,-1.8,0.1,2009-10,16.1,12.6,7.8,-0.8,0.7,25.8,4.6,0.095,2009-10,16.1,12.6,7.8,-0.8,0.7,25.8,4.6,0.095
40,Rodrigue Beaubois,PG,22,DAL,28,496,11.4,0.5,0.372,0.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,,-0.4,0.7,0.2,0.022,,-3.2,0.5,-2.7,-0.1,2009-10,18.5,6.4,18.6,1.5,0.6,24.7,2.0,0.134,2009-10,18.5,6.4,18.6,1.5,0.6,24.7,2.0,0.134
41,Marco Belinelli,SG,24,NOH,80,1957,12.1,0.56,0.469,0.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,,1.9,1.5,3.4,0.084,,0.2,-0.8,-0.6,0.7,2009-10,12.6,5.0,11.8,-1.3,0.2,20.1,1.2,0.049,2008-09,11.8,4.4,15.3,-2.3,-0.1,19.3,0.5,0.028
42,Charlie Bell,SG,31,GSW,19,171,4.7,0.357,0.488,0.093,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,,-0.2,0.0,-0.1,-0.04,,-4.2,-0.8,-5.0,-0.1,2009-10,7.9,4.7,9.8,-2.4,-0.2,14.8,2.0,0.06,2006-07,13.1,4.9,13.6,-1.3,0.5,18.3,4.0,0.068
43,Raja Bell,SG,34,UTA,68,2097,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,,1.2,0.5,1.7,0.04,,-2.4,-0.7,-3.1,-0.6,2008-09,10.7,6.4,10.1,-1.3,0.4,16.3,3.6,0.074,2006-07,12.0,5.0,9.5,-0.1,1.4,17.0,5.8,0.095
44,Mike Bibby,PG,32,TOT,80,2285,10.9,0.57,0.604,0.108,0.9,9.2,5.1,17.9,1.2,0.3,14.3,14.6,,2.2,1.8,4.0,0.085,,-0.6,-0.4,-0.9,0.6,2009-10,12.7,4.9,20.8,-0.2,1.0,16.1,4.8,0.104,2005-06,17.9,4.4,25.2,1.5,2.8,25.4,8.4,0.127
44,Mike Bibby,PG,32,ATL,56,1674,11.7,0.57,0.58,0.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,,1.9,1.2,3.1,0.089,,-0.3,-0.3,-0.6,0.6,2009-10,12.7,4.9,20.8,-0.2,1.0,16.1,4.8,0.104,2005-06,17.9,4.4,25.2,1.5,2.8,25.4,8.4,0.127
44,Mike Bibby,PG,32,WAS,2,29,1.1,0.111,0.444,0.0,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,,-0.1,0.0,-0.1,-0.161,,-8.4,-0.7,-9.1,-0.1,2009-10,12.7,4.9,20.8,-0.2,1.0,16.1,4.8,0.104,2005-06,17.9,4.4,25.2,1.5,2.8,25.4,8.4,0.127
44,Mike Bibby,PG,32,MIA,22,582,9.0,0.601,0.698,0.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,,0.4,0.6,1.0,0.084,,-1.0,-0.5,-1.5,0.1,2009-10,12.7,4.9,20.8,-0.2,1.0,16.1,4.8,0.104,2005-06,17.9,4.4,25.2,1.5,2.8,25.4,8.4,0.127
45,Andris Biedriņš,C,24,GSW,59,1397,12.1,0.526,0.0,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,,1.1,1.5,2.6,0.088,,-2.5,0.2,-2.3,-0.1,2008-09,19.1,20.2,10.0,1.3,1.5,16.9,5.4,0.139,2008-09,19.1,20.2,10.0,1.3,1.5,16.9,5.4,0.139
